total_return_pct,final_capital,trades,win_rate,profit_factor,avg_win,avg_loss,best_trade,worst_trade,max_drawdown,long_trades,short_trades,liquidated,st_period,st_mult,ao_fast,ao_slow,vol_threshold,sl_atr_mult,ts_activation,ts_trail_atr_mult
108.59,208.59,40,60.0,1.48,3.1056,-3.1465,6.8312,-4.0774,-31.38,24,16,False,14,2.0,7,34,1.5,3.0,3.0,1.5
106.87,206.87,48,64.58,1.32,3.0306,-4.1979,6.8312,-6.9895,-27.27,28,20,False,14,2.0,7,34,1.3,4.0,3.0,1.5
100.31,200.31,55,54.55,1.21,2.89,-2.8691,6.9528,-5.2421,-46.85,28,27,False,14,2.0,7,21,1.3,3.0,3.0,1.5
98.28,198.28,40,67.5,1.51,3.0469,-4.1868,6.8312,-5.4366,-28.55,24,16,False,14,2.0,7,34,1.5,4.0,3.0,1.5
94.97,194.97,49,44.9,1.22,3.2036,-2.1413,6.8312,-3.4947,-37.18,29,20,False,14,2.0,7,34,1.3,2.0,3.0,1.5
94.81,194.81,48,56.25,1.27,3.0836,-3.1208,6.8312,-5.2421,-27.34,28,20,False,14,2.0,7,34,1.3,3.0,3.0,1.5
87.81,187.81,53,60.38,1.2,2.8679,-3.6372,6.9528,-6.9895,-40.51,26,27,False,14,2.0,7,21,1.3,4.0,3.0,1.5
83.28,183.28,55,54.55,1.18,2.8255,-2.8691,6.7477,-5.2421,-46.64,28,27,False,14,2.0,7,21,1.3,3.0,3.0,2.0
82.95,182.95,40,47.5,1.36,3.1896,-2.1191,6.8312,-2.7183,-35.45,24,16,False,14,2.0,7,34,1.5,2.0,3.0,1.5
80.86,180.86,49,57.14,1.26,2.7117,-2.8631,6.5099,-5.1589,-38.6,28,21,False,7,2.0,7,21,1.3,3.0,3.0,2.0
77.88,177.88,48,64.58,1.22,2.809,-4.1979,6.1059,-6.9895,-27.27,28,20,False,14,2.0,7,34,1.3,4.0,3.0,2.0
76.04,176.04,45,57.78,1.29,2.7488,-2.9105,4.3439,-4.5633,-36.16,26,19,False,14,2.0,7,21,1.5,3.0,3.0,1.5
74.95,174.95,49,57.14,1.22,2.6238,-2.8631,6.5032,-5.1589,-39.67,28,21,False,7,2.0,7,21,1.3,3.0,3.0,1.5
74.31,174.31,43,58.14,1.31,3.0976,-3.285,6.8312,-5.2924,-44.48,25,18,False,14,2.0,5,34,1.5,3.0,3.0,1.5
71.89,171.89,56,55.36,1.26,2.8237,-2.772,8.5397,-4.8379,-41.76,30,26,False,10,2.0,7,21,1.3,3.0,3.0,2.0
71.32,171.32,53,60.38,1.16,2.7784,-3.6372,6.7477,-6.9895,-39.67,26,27,False,14,2.0,7,21,1.3,4.0,3.0,2.0
67.49,167.49,56,55.36,1.22,2.7201,-2.772,6.9644,-4.8379,-40.01,30,26,False,10,2.0,7,21,1.3,3.0,3.0,1.5
67.11,167.11,40,67.5,1.35,2.7303,-4.1868,6.1059,-5.4366,-29.95,24,16,False,14,2.0,7,34,1.5,4.0,3.0,2.0
64.99,164.99,53,50.94,1.12,2.7963,-2.5892,7.5581,-5.2421,-39.61,26,27,False,14,2.0,7,21,1.3,3.0,3.0,3.0
64.39,164.39,43,65.12,1.29,3.0418,-4.4095,6.8312,-7.0565,-42.18,25,18,False,14,2.0,5,34,1.5,4.0,3.0,1.5
64.02,164.02,54,61.11,1.23,2.7059,-3.4451,6.9644,-6.4505,-30.34,28,26,False,10,2.0,7,21,1.3,4.0,3.0,1.5
63.77,163.77,54,61.11,1.27,2.7761,-3.4451,8.5397,-6.4505,-30.11,28,26,False,10,2.0,7,21,1.3,4.0,3.0,2.0
62.86,162.86,48,60.42,1.16,2.9204,-3.8265,7.7287,-6.9895,-27.27,28,20,False,14,2.0,7,34,1.3,4.0,3.0,3.0
61.52,161.52,54,53.7,1.21,2.6452,-2.5364,7.6523,-4.8379,-36.89,28,26,False,10,2.0,7,21,1.3,3.0,3.0,3.0
60.93,160.93,47,61.7,1.21,2.7033,-3.588,6.5099,-6.8785,-35.42,26,21,False,7,2.0,7,21,1.3,4.0,3.0,2.0
60.56,160.56,40,60.0,1.29,2.6973,-3.1465,6.1059,-4.0774,-33.05,24,16,False,14,2.0,7,34,1.5,3.0,3.0,2.0
60.35,160.35,36,58.33,1.2,2.6878,-3.1328,6.5032,-5.1589,-28.63,23,13,False,7,2.0,7,21,1.5,3.0,3.0,1.5
58.53,158.53,47,61.7,1.18,2.6332,-3.588,6.5032,-6.8785,-34.65,26,21,False,7,2.0,7,21,1.3,4.0,3.0,1.5
58.36,158.36,44,61.36,1.26,2.2618,-2.8521,6.7477,-4.5633,-28.28,25,19,False,14,2.0,7,21,1.5,3.0,2.0,2.0
57.01,157.01,42,57.14,1.16,2.6535,-3.0615,4.512,-4.8379,-28.84,24,18,False,10,2.0,7,21,1.5,3.0,3.0,1.5
56.4,156.4,40,70.0,1.31,2.3759,-4.2159,6.1059,-5.4366,-28.57,24,16,False,14,2.0,7,34,1.5,4.0,2.0,2.0
56.37,156.37,48,56.25,1.15,2.7977,-3.1208,6.1059,-5.2421,-27.33,28,20,False,14,2.0,7,34,1.3,3.0,3.0,2.0
55.34,155.34,43,46.51,1.26,3.1754,-2.1894,6.8312,-3.5283,-45.83,25,18,False,14,2.0,5,34,1.5,2.0,3.0,1.5
54.87,154.87,45,57.78,1.22,2.5919,-2.9105,6.7477,-4.5633,-36.16,26,19,False,14,2.0,7,21,1.5,3.0,3.0,2.0
54.53,154.53,43,62.79,1.26,2.7252,-3.6425,4.3439,-6.0845,-35.72,24,19,False,14,2.0,7,21,1.5,4.0,3.0,1.5
48.08,148.08,42,66.67,1.27,2.2377,-3.5266,6.7477,-6.0845,-27.99,23,19,False,14,2.0,7,21,1.5,4.0,2.0,2.0
46.44,146.44,63,42.86,1.03,3.1163,-2.275,6.8312,-3.4947,-52.71,37,26,False,14,2.0,7,34,1.0,2.0,3.0,1.5
46.44,146.44,43,65.12,1.2,2.8396,-4.4095,6.4312,-7.0565,-43.23,25,18,False,14,2.0,5,34,1.5,4.0,3.0,2.0
46.21,146.21,62,40.32,1.03,3.3674,-2.1993,8.629,-3.4947,-52.5,37,25,False,14,2.0,7,34,1.0,2.0,3.0,3.0
